cell_type,segment,percent_immune
NK,Tumor,0.02038522992840702
pDCs,Tumor,0.015383192856481076
mDCs,Tumor,0.004742710637756305
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.31385510847230735
Treg,Tumor,0.0
endothelial.cells,Tumor,0.11580449564123584
fibroblasts,Tumor,0.1044633755833395
macrophages,Stroma,0.1948045622900248
mast,Stroma,0.0005007023637038286
B.naive,Stroma,0.052975947785374095
B.memory,Stroma,0.0
plasma,Stroma,0.044621198210031
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.15345330770992016
T.CD8.naive,Stroma,0.021126544491653274
T.CD8.memory,Stroma,0.15871782280364027
NK,Stroma,0.03170522333189883
pDCs,Stroma,0.015341866768753602
mDCs,Stroma,0.018870237876860076
monocytes.C,Stroma,0.03764092651164181
monocytes.NC.I,Stroma,0.0
neutrophils,Stroma,0.04999640747343116
Treg,Stroma,0.023954851692938463
endothelial.cells,Stroma,0.07566330858147349
fibroblasts,Stroma,0.12062709210865509
macrophages,Tumor,0.10351749413075013
mast,Tumor,0.0011207280698107296
B.naive,Tumor,0.046722108704975396
B.memory,Tumor,0.0
plasma,Tumor,0.0016374313021226647
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.08040757371497957
T.CD8.naive,Tumor,0.16761825798040378
T.CD8.memory,Tumor,0.10504901774390285
NK,Tumor,0.02018599088476154
pDCs,Tumor,0.009963129433309117
mDCs,Tumor,0.0032284964178691897
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.26659275249512504
Treg,Tumor,0.0
endothelial.cells,Tumor,0.12456752714783814
fibroblasts,Tumor,0.06938949197415181
macrophages,Stroma,0.302656589343746
mast,Stroma,0.0005414802809727283
B.naive,Stroma,0.03849580603585824
B.memory,Stroma,0.0
plasma,Stroma,0.04327291945428136
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.08976205180436626
T.CD8.naive,Stroma,0.0
T.CD8.memory,Stroma,0.1566793419089884
NK,Stroma,0.02354140677547116
pDCs,Stroma,0.004848067861064193
mDCs,Stroma,0.004484625660836657
monocytes.C,Stroma,0.025402386495419038
monocytes.NC.I,Stroma,0.013450001096682885
neutrophils,Stroma,0.10082517164146332
Treg,Stroma,0.0
endothelial.cells,Stroma,0.08811463788261886
fibroblasts,Stroma,0.10792551375823095
macrophages,Tumor,0.17681754693981674
mast,Tumor,0.002476866995859367
B.naive,Tumor,0.0075429022104368275
B.memory,Tumor,0.0
plasma,Tumor,0.009257227799616529
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.21787334098944722
T.CD8.memory,Tumor,0.09018043078254026
NK,Tumor,0.01161281046183713
pDCs,Tumor,0.0027674810072501597
mDCs,Tumor,0.0
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.22962264906049687
Treg,Tumor,0.00700730204622174
endothelial.cells,Tumor,0.1220601439897592
fibroblasts,Tumor,0.12278129771671786
macrophages,Stroma,0.34870467127134935
mast,Stroma,0.0012524941796848786
B.naive,Stroma,0.010803193890648679
B.memory,Stroma,0.0
plasma,Stroma,0.07898939347981958
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.05531328134135487
T.CD8.naive,Stroma,0.0
T.CD8.memory,Stroma,0.11939847070651184
NK,Stroma,0.020651193134053714
pDCs,Stroma,0.006820660426051249
mDCs,Stroma,0.005535328474383457
monocytes.C,Stroma,0.008290410104845504
monocytes.NC.I,Stroma,0.030651059074545395
neutrophils,Stroma,0.02071628027262455
Treg,Stroma,0.03355668266466886
endothelial.cells,Stroma,0.06913946582804266
fibroblasts,Stroma,0.19017741515141542
macrophages,Tumor,0.09492670738442505
mast,Tumor,0.003950090272523235
B.naive,Tumor,0.0
B.memory,Tumor,0.0
plasma,Tumor,0.011374270077249891
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.3877786696242623
T.CD8.memory,Tumor,0.0
NK,Tumor,0.04354974270168186
pDCs,Tumor,0.00552381093905777
mDCs,Tumor,0.0
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.3363631330097869
Treg,Tumor,0.0
endothelial.cells,Tumor,0.08947745219993408
fibroblasts,Tumor,0.027056123791078995
macrophages,Stroma,0.35750853025530765
mast,Stroma,0.000235300155271836
B.naive,Stroma,0.011266674208529646
B.memory,Stroma,0.0
plasma,Stroma,0.062151479683228344
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.01490349239822058
T.CD8.naive,Stroma,0.08914014399595227
T.CD8.memory,Stroma,0.11807649203484152
NK,Stroma,0.03952817631156405
pDCs,Stroma,0.005614513754448902
mDCs,Stroma,0.0
monocytes.C,Stroma,0.03229773709866941
monocytes.NC.I,Stroma,0.002883604730821262
neutrophils,Stroma,0.05500967960919656
Treg,Stroma,0.009923030650286992
endothelial.cells,Stroma,0.0856828349465022
fibroblasts,Stroma,0.11577831016715881
macrophages,Tumor,0.09605851048703987
mast,Tumor,0.004287346713823848
B.naive,Tumor,0.0762184591915346
B.memory,Tumor,0.0
plasma,Tumor,0.02245418641555643
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.3887026358205005
T.CD8.memory,Tumor,0.08354067929334656
NK,Tumor,0.037075816050177256
pDCs,Tumor,0.004331642846896723
mDCs,Tumor,0.007460364012716874
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.15079749453947167
Treg,Tumor,0.0
endothelial.cells,Tumor,0.10061683314719824
fibroblasts,Tumor,0.0284560314817375
macrophages,Stroma,0.13975225575059946
mast,Stroma,0.0010939937958365418
B.naive,Stroma,0.0905267974810507
B.memory,Stroma,0.08244416330996113
plasma,Stroma,0.0537302851463062
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.22279057015988948
T.CD8.naive,Stroma,0.07378567229691543
T.CD8.memory,Stroma,0.13270675545424704
NK,Stroma,0.010493127412675718
pDCs,Stroma,0.022191569280936876
mDCs,Stroma,0.016180586550789557
monocytes.C,Stroma,0.0
monocytes.NC.I,Stroma,0.0060814763665849765
neutrophils,Stroma,0.009319873703861718
Treg,Stroma,0.06416921003221082
endothelial.cells,Stroma,0.04758218303293674
fibroblasts,Stroma,0.027151480225197686
macrophages,Tumor,0.1654901357187673
mast,Tumor,0.001066175510221789
B.naive,Tumor,0.017117421133097208
B.memory,Tumor,0.0
plasma,Tumor,0.02117274538500308
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.02005274890689822
T.CD8.naive,Tumor,0.1806316496312861
T.CD8.memory,Tumor,0.09105821524521673
NK,Tumor,0.030977192745953248
pDCs,Tumor,0.003273351899226857
mDCs,Tumor,0.0010751098501712952
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.2097323105612776
Treg,Tumor,0.009292867548572763
endothelial.cells,Tumor,0.10529789352802978
fibroblasts,Tumor,0.14376218233627794
macrophages,Stroma,0.31002454594789
mast,Stroma,3.155323149801019e-05
B.naive,Stroma,0.0314915540374837
B.memory,Stroma,0.0
plasma,Stroma,0.02154322253503103
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.08147477881178522
T.CD8.naive,Stroma,0.0
T.CD8.memory,Stroma,0.1659125013005587
NK,Stroma,0.026097878709417443
pDCs,Stroma,0.006054143812815585
mDCs,Stroma,0.0173753502861788
monocytes.C,Stroma,0.019457086374907995
monocytes.NC.I,Stroma,0.014739737859653728
neutrophils,Stroma,0.03500890675460784
Treg,Stroma,0.01921733313671918
endothelial.cells,Stroma,0.06312904348166727
fibroblasts,Stroma,0.18844236371978548
macrophages,Tumor,0.09889860062787308
mast,Tumor,0.0016580437172347435
B.naive,Tumor,0.044022620334485785
B.memory,Tumor,0.0
plasma,Tumor,0.01064527307388012
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.2426464114573147
T.CD8.memory,Tumor,0.04525441340725588
NK,Tumor,0.035234657810363654
pDCs,Tumor,0.003159708445945086
mDCs,Tumor,0.010983088941118413
monocytes.C,Tumor,0.0
monocytes.NC.I,Tumor,0.0
neutrophils,Tumor,0.23640920784792016
Treg,Tumor,0.0
endothelial.cells,Tumor,0.13223106780020208
fibroblasts,Tumor,0.1388569065364063
macrophages,Stroma,0.2914776582497832
mast,Stroma,0.0002042013843158244
B.naive,Stroma,0.013987463754837065
B.memory,Stroma,0.0
plasma,Stroma,0.01215607039038639
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.05203587067515612
T.CD8.naive,Stroma,0.020803468186499998
T.CD8.memory,Stroma,0.15053436871558626
NK,Stroma,0.02985317008445925
pDCs,Stroma,0.005071741544037632
mDCs,Stroma,0.015688635806207826
monocytes.C,Stroma,0.036885657527852785
monocytes.NC.I,Stroma,0.013912019314536759
neutrophils,Stroma,0.04938976159415889
Treg,Stroma,0.02302947684126511
endothelial.cells,Stroma,0.08790014689783458
fibroblasts,Stroma,0.19707028903308216
macrophages,Tumor,0.08599463301197106
mast,Tumor,0.007177347674584441
B.naive,Tumor,0.04304349256096151
B.memory,Tumor,0.0
plasma,Tumor,0.0062776577685335995
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.37480811466000336
T.CD8.memory,Tumor,0.0
NK,Tumor,0.03806869908274574
pDCs,Tumor,0.02945277412775481
mDCs,Tumor,0.0
monocytes.C,Tumor,0.08068716173490839
monocytes.NC.I,Tumor,0.0005091175878779619
neutrophils,Tumor,0.1953970454190372
Treg,Tumor,0.0
endothelial.cells,Tumor,0.11107378762535966
fibroblasts,Tumor,0.02751016874626202
macrophages,Stroma,0.19220928807389515
mast,Stroma,0.0
B.naive,Stroma,0.02325937487414099
B.memory,Stroma,0.0
plasma,Stroma,0.023778672980024857
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.21897726606275505
T.CD8.naive,Stroma,0.0
T.CD8.memory,Stroma,0.16567478911917746
NK,Stroma,0.016705734912225757
pDCs,Stroma,0.013737645844095845
mDCs,Stroma,0.0
monocytes.C,Stroma,0.05015476420417319
monocytes.NC.I,Stroma,0.03812351265463858
neutrophils,Stroma,0.0
Treg,Stroma,0.004997312616977641
endothelial.cells,Stroma,0.12740670065046358
fibroblasts,Stroma,0.12497493800743181
macrophages,Tumor,0.1813932798621149
mast,Tumor,0.005983031965647595
B.naive,Tumor,0.0
B.memory,Tumor,0.0
plasma,Tumor,0.0017317020768553364
T.CD4.naive,Tumor,0.0
T.CD4.memory,Tumor,0.0
T.CD8.naive,Tumor,0.3549748826451328
T.CD8.memory,Tumor,0.0
NK,Tumor,0.006000179532597365
pDCs,Tumor,0.03422792135926309
mDCs,Tumor,0.0
monocytes.C,Tumor,0.024272459164513482
monocytes.NC.I,Tumor,0.016184390114511685
neutrophils,Tumor,0.2862926981160366
Treg,Tumor,0.0
endothelial.cells,Tumor,0.06428351899082185
fibroblasts,Tumor,0.024655936172505367
macrophages,Stroma,0.19651325224090108
mast,Stroma,0.001696504746966888
B.naive,Stroma,0.029751592268733064
B.memory,Stroma,0.0
plasma,Stroma,0.003752180699039816
T.CD4.naive,Stroma,0.0
T.CD4.memory,Stroma,0.23862026354129015
T.CD8.naive,Stroma,0.015720668453891598
T.CD8.memory,Stroma,0.11108915800627736
